,gene_id,AE0,AE1,PCA0,PCA1,UMAP0,UMAP1,tSNE0,tSNE1
7620,INE1,2.1700921058654785,0.556218147,-2.796173908,-0.157031142,0.42350188,7.20733,20.926481,55.564514
7621,INF2,-4.898377419,-6.728987217,4.0990600347041495,-0.491716404,11.130198,4.6830316,5.704244,-37.735493
7622,ING1,-0.932013035,-5.423492432,0.4923520597823823,0.022317877276524175,6.4933543,10.635761,-59.074505,24.338554
7623,ING2,0.5845071077346802,-4.563287258,-0.617232741,0.20196730778189917,4.124048,10.554753,-41.1088,53.87426
7624,ING3,-0.523796618,-5.228563786,0.16636624557634289,0.064838185,5.8432045,10.77137,-59.534637,33.326294
7625,ING4,-1.798150539,-5.678905964,1.1149077124609093,0.11534241551413174,8.127918,10.202349,-63.151855,-3.9536936
7626,ING5,-3.032585144,-5.806188107,2.1014237078562883,-0.148423995,9.296192,8.082508,-32.65931,-20.440022
7627,INHA,5.057786464691162,6.107207775115967,-3.999840776,0.18682316533565113,-0.7071621,3.8405657,43.636223,25.917873
7628,INHBA,-4.507722378,-5.030577183,2.680022338734415,-0.418514802,9.136072,7.11696,-13.9147415,-11.431039
7629,INHBB,-1.200059652,-4.270165443,0.038330796,0.038735176,5.477453,10.65979,-55.494114,41.39433
7630,INHBC,1.1050856113433838,17.729158401489258,-4.914840653,0.2792834915240611,-1.9315497,2.2937636,82.081696,13.266362
7631,INHBE,6.444674491882324,9.504541397094727,-4.250242373,0.6392664646852375,-0.36488608,3.0023623,41.236176,9.445648
7632,INIP,-2.207169056,-6.911709785,2.1925912505090572,0.062049947,10.167893,8.932973,-51.564163,-27.967802
7633,INKA1,5.116729736328125,1.377176284790039,-3.163298212,0.3767198594164409,0.47128618,5.1360726,24.289467,14.9263
7634,INKA2,-0.407951593,-3.491820335,-0.76487995,-0.086780354,3.995505,9.950973,-36.41364,47.81386
7635,INKA2-AS1,2.0827279090881348,10.720795631408691,-4.421043443,0.061645233995317655,-0.89966106,2.405794,64.08687,8.692618
7636,INMT,-6.443935871,0.5591480731964111,-0.062623659,-2.227675945,4.8877172,8.673822,-14.508179,11.186319
7637,INMT-MINDY4,-2.823570967,12.389262199401855,-4.776892569,-0.620371862,-1.6998733,1.7099243,76.35207,-0.62143207
7638,INO80,-3.988722801,-7.039879799,3.6163012227467886,-0.183143246,11.392509,5.174307,-0.28742018,-44.864834
7639,INO80B,-0.320578724,-4.66565752,-0.205334542,0.10876094697950568,5.056786,10.610831,-55.187843,44.98947
7640,INO80B-WBP1,-0.715955496,-4.941127777,0.1437857608740546,0.1645719920520603,5.586026,10.84271,-53.56698,28.660017
7641,INO80C,2.541360378265381,-2.35231638,-1.884721454,0.3594121154579795,1.7183039,9.260187,-6.1097245,48.747364
7642,INO80D,-4.705574036,-7.431647301,4.484296979,-0.261362125,11.5387335,3.484836,19.482695,-47.54278
7643,INO80E,-1.862774372,-5.693089485,1.2061668380568942,-0.084951323,7.803431,9.587812,-45.69492,0.27982774
7644,INPP1,-1.109774828,-4.51296711,0.085063267,0.12315727512719661,5.660667,10.659836,-52.912308,33.07631
7645,INPP4A,-4.213354588,-6.74070549,3.6018171335592513,-0.359884564,10.946221,5.400879,-5.6496663,-39.41411
7646,INPP4B,-4.532386303,-4.90295887,2.586914299069401,-0.74013912,9.716113,7.2501216,-18.787172,-19.131306
7647,INPP5A,-2.433451414,-5.274069309,1.326677369418768,-0.086299016,8.414901,9.639874,-44.84741,-9.116758
7648,INPP5B,-3.53836298,-5.873576641,2.505202520034615,-0.548582132,9.912047,7.302761,-18.232836,-26.350529
7649,INPP5D,-4.14582634,-4.507009506,2.049970130633284,-0.931299183,8.5748005,7.464405,-9.002208,-11.242095
7650,INPP5E,-1.233062148,-4.734121323,0.25783178351267644,-0.061956858,6.139107,9.951031,-43.22492,17.764557
7651,INPP5F,-2.397548437,-6.187477589,1.870819494,0.097771254,9.613329,8.834301,-44.25522,-29.81218
7652,INPP5J,1.302795648574829,-1.972424746,-1.899791699,-0.139816291,1.9058688,9.031097,-5.846006,56.774796
7653,INPP5K,-2.646127224,-5.839369297,1.815243565214325,-0.259056263,9.023211,8.937482,-46.544968,-17.306763
7654,INPPL1,-5.433083057,-7.22612381,4.918758981643506,-0.449798446,11.576107,2.679955,29.671047,-46.84268
7655,INSC,-0.432222813,14.084446907043457,-4.705378486,-0.145258108,-1.3525589,1.9197403,74.99024,3.3953326
7656,INSIG1,-3.061824322,-7.223155022,2.9844824928648235,0.23030966002488348,11.469479,6.5950594,-18.890532,-56.890392
7657,INSIG2,-2.462159634,-6.055460453,1.808065829765725,-0.152572797,9.861585,8.960104,-51.371937,-31.237226
7658,INSL3,0.78377074,14.867410659790039,-4.741583667,0.037193252,-0.9704437,1.6646677,65.643425,-2.2863576
7659,INSM1,2.6747450828552246,16.00605583190918,-4.699860815,0.4395847877246019,-0.3750886,1.5325536,80.94833,-12.651
7660,INSM2,-1.747260332,18.530357360839844,-5.062282844,-0.085552009,-0.7714281,0.8584113,66.32126,-13.735357
7661,INSR,-5.261261463,-7.770711899,5.175590938873875,-0.2983091,11.771371,2.5021129,31.712458,-52.58296
7662,INSRR,-0.62912631,19.092416763305664,-4.958887732,0.19198518780531204,-0.41361153,1.0209942,58.343266,-20.292099
7663,INSYN1,5.148359775543213,2.053055525,-3.278020906,0.1785426142996948,0.20976931,5.9493346,24.79124,35.341457
7664,INSYN2A,-0.095127299,-2.236754417,-1.425842664,-0.536510589,3.112163,9.1692705,-2.9963465,68.109375
7665,INSYN2B,-1.863188505,-0.897908688,-1.322910122,-0.892933994,3.5215683,7.952936,1.7827518,11.858529
7666,INTS1,-5.173946857,-7.958012581,5.222492098609534,-0.081946464,11.650147,1.9565525,33.16242,-48.64009
7667,INTS10,-3.095770359,-7.265872478,3.0651031664315647,0.087356174,11.215793,6.765706,-20.392315,-50.854774
7668,INTS11,-3.28340292,-6.592791557,2.7924774349747943,0.002312918,10.724098,7.0361543,-25.37688,-45.947083
7669,INTS12,-0.657106876,-5.554866314,0.39194553050366165,0.011835795431124655,6.289744,10.704237,-59.47453,25.638453
7670,INTS13,-0.842034936,-7.972588062,1.8895399393783598,0.8238750038159394,9.946639,9.839254,-71.560425,-26.000078
7671,INTS14,-2.14353776,-7.252288818,2.348755478152844,0.4373563710312192,10.910579,8.348837,-49.806255,-46.25004
7672,INTS2,-2.414857149,-7.209287643,2.514981743712405,0.34387806238191915,10.682506,8.106018,-41.347958,-42.132812
7673,INTS3,-4.867150784,-7.626756191,4.724877423882336,-0.130746409,11.478552,2.9865565,26.490013,-46.70398
7674,INTS4,-2.589834213,-6.312899113,2.1031286458551492,0.006835959,9.793489,8.6552305,-37.61996,-29.233034
7675,INTS4P1,3.4576339721679688,3.791903018951416,-3.57135984,-0.10962183,-0.46247813,5.2437577,32.58725,36.542637
7676,INTS4P2,-0.692010522,15.708059310913086,-4.956910426,-0.021688191,-0.9594804,1.2007263,62.51311,-3.2779708
7677,INTS5,-2.099904776,-6.912539005,2.1048217396809403,0.064801471,9.6464205,8.812969,-43.953518,-24.399815
7678,INTS6,-3.755137444,-7.937074184,4.012395347264576,0.18511619738222163,11.791433,4.658722,2.9323049,-56.89789
7679,INTS6-AS1,4.346790790557861,4.6131768226623535,-3.729819201,0.055929522,-0.3375012,4.8548923,37.481762,34.714985
7680,INTS6L,-1.927082777,-4.520005226,0.5548513523023363,-0.135424963,6.3353105,9.875644,-43.190544,21.848148
7681,INTS7,-1.895066977,-7.890413284,2.584091088023293,0.3623759222250556,10.9993105,7.9574924,-41.91681,-45.360706
7682,INTS8,-2.949160099,-7.913059235,3.3678658042903367,0.30249530473269876,11.857849,6.0540576,-17.837004,-61.56996
7683,INTS9,-1.172168732,-5.464747429,0.6602590871908263,-0.009986598,6.778199,10.25191,-55.46552,14.957418
7684,INTU,-2.469548464,-5.920485497,1.7433914150334404,-0.087146648,9.039559,8.969325,-47.23593,-14.644203
7685,INVS,-2.422714233,-5.825284481,1.638394346036277,-0.092104446,8.962573,9.119901,-47.688705,-16.926146
7686,IP6K1,-3.583244324,-6.574326992,2.981419802585596,-0.259980848,10.747994,6.590465,-21.248985,-45.911148
7687,IP6K2,-3.325214386,-6.348103046,2.6435205324914106,-0.064155799,10.514093,7.24139,-31.763681,-40.8734
7688,IP6K3,0.7089260220527649,3.1005849838256836,-3.229336359,-0.419033686,-0.13503434,6.116327,32.72211,52.470085
7689,IPCEF1,-2.422142029,-3.221498728,0.057757356930263855,-0.745016727,5.1080766,8.376411,-5.8660045,4.632707
7690,IPMK,-1.280145407,-6.647348404,1.4023340932530777,0.18200611829440774,8.633759,10.16164,-65.606224,-4.707914
7691,IPO11,-2.063884974,-6.964277267,2.129501146235446,0.12888256892291924,10.066548,8.794582,-48.863598,-31.97465
7692,IPO11-LRRC70,1.8143565654754639,8.478049278259277,-4.110237766,-0.056306922,-1.3344386,4.0217314,64.69368,33.906597
7693,IPO13,-2.550952196,-6.714269161,2.327723330384372,0.29618072351847485,10.327483,8.206622,-35.12242,-32.9728
7694,IPO4,-2.180214882,-8.23081398,2.9969167211837915,0.48985532084544947,11.807286,6.736002,-10.600814,-69.93235
7695,IPO5,-4.15583849,-9.468570709,5.4027807426544365,0.41266019266053044,12.146563,1.6337154,40.652954,-62.22453
7696,IPO5P1,-1.989289999,-4.138239384,0.3718186729591702,-0.676186671,6.080157,9.816167,-30.479752,18.974424
7697,IPO7,-4.74041605,-10.02635765,6.300621812887057,0.24041219994970092,11.856342,0.5833279,53.016945,-60.159992
7698,IPO8,-3.65572691,-7.87333107,3.9039901678261355,0.14990320548836283,12.209835,4.4957476,6.250018,-63.626114
7699,IPO9,-3.977902889,-9.16690731,5.0498570582640285,0.2402452054770348,12.018607,2.4610846,31.228497,-55.738487
7700,IPO9-AS1,1.6345679759979248,12.590819358825684,-4.562974875,0.1001192609247512,-0.5982626,2.476795,54.800457,6.982451
7701,IPP,-1.437224388,-5.75655508,0.9596500093268294,0.012344661668779856,7.6332693,10.141857,-58.233177,11.178117
7702,IPPK,-0.149127916,-6.591433525,0.8229344866995865,0.7396789273723031,7.082126,11.010998,-71.44942,14.56338
7703,IPW,-0.548503757,-2.104288101,-1.322265098,-0.494289446,3.0990171,9.188995,-21.100012,40.20457
7704,IQCA1,0.7726938128471375,-3.117131233,-1.229565825,0.285481822,2.698918,9.47069,-10.334502,65.11619
7705,IQCB1,-1.581433058,-6.83543396,1.726925153439269,0.5132214251249873,8.863132,10.28478,-76.26422,-5.2975755
7706,IQCC,0.5301714539527893,-3.441719055,-1.121444627,-0.004685557,3.0307055,9.805344,-24.607353,53.089256
